file	section_id	section_title	page_start	page_end	pid_start	pid_end	para_count	part_index	part_total
packs/jimu-ch01-pack-00.txt	jimu-ch01	移転価格事務運営要領 第1章 定義及び基本方針	0	0	1-1	1-3	3		
packs/jimu-ch02-pack-00.txt	jimu-ch02	移転価格事務運営要領 第2章 国別報告事項、事業概況報告事項及びローカルファイル	0	0	2-1	2-4	4		
packs/jimu-ch03-pack-00.txt	jimu-ch03	移転価格事務運営要領 第3章 調査	0	0	3-1	3-16	8		
packs/jimu-ch03-pack-01.txt	jimu-ch03	移転価格事務運営要領 第3章 調査	0	0	3-17	3-4	15		
packs/jimu-ch03-pack-02.txt	jimu-ch03	移転価格事務運営要領 第3章 調査	0	0	3-5	3-9	5		
packs/jimu-ch04-pack-00.txt	jimu-ch04	移転価格事務運営要領 第4章 独立企業間価格の算定等における留意点	0	0	4-1	4-9	15		
packs/jimu-ch05-pack-00.txt	jimu-ch05	移転価格事務運営要領 第5章 国外移転所得金額等の取扱い	0	0	5-1	5-3	3		
packs/jimu-ch06-pack-00.txt	jimu-ch06	移転価格事務運営要領 第6章 事前確認	0	0	6-1	6-18	10		
packs/jimu-ch06-pack-01.txt	jimu-ch06	移転価格事務運営要領 第6章 事前確認	0	0	6-19	6-9	14		
packs/jimu-ch07-pack-00.txt	jimu-ch07	移転価格事務運営要領 第7章 平成29年1月31日付官協8-1ほか7課共同「日台民間租税取決め第24条（相互協議手続）の取扱い等について」（事務運営指針）（以下「日台相互協議指針」という。）に定める相互協議が行われる場合の取扱い	0	0	7-all	7-all	1		
packs/jimu-ch08-pack-00.txt	jimu-ch08	移転価格事務運営要領 第８章 平成17年４月28日付査調７−４ほか３課共同｢連結法人に係る移転価格事務運営要領の制定について」（事務運営指針）（以下「連結指針」という。）の廃止に伴う経過的取扱い	0	0	8-1	8-6	6		
packs/bessatsu-pack-00.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	1	5	preface	preface	1		
packs/bessatsu-pack-01.part-01.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	5	20	事例1	事例1	1	1	3
packs/bessatsu-pack-01.part-02.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	5	20	事例1	事例1	1	2	3
packs/bessatsu-pack-01.part-03.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	5	20	事例1	事例1	1	3	3
packs/bessatsu-pack-02.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	21	24	事例2	事例3	2		
packs/bessatsu-pack-03.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	25	32	事例4	事例4	1		
packs/bessatsu-pack-04.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	33	36	事例5	事例5	1		
packs/bessatsu-pack-05.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	37	44	事例6	事例6	1		
packs/bessatsu-pack-06.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	45	54	事例7	事例7	1		
packs/bessatsu-pack-07.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	55	63	事例8	事例10	3		
packs/bessatsu-pack-08.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	64	73	事例11	事例13	3		
packs/bessatsu-pack-09.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	74	82	事例14	事例17	4		
packs/bessatsu-pack-10.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	83	91	事例18	事例20	3		
packs/bessatsu-pack-11.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	92	100	事例21	事例23	3		
packs/bessatsu-pack-12.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	100	103	事例24	事例24	1		
packs/bessatsu-pack-13.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	104	107	事例25	事例25	1		
packs/bessatsu-pack-14.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	108	114	事例26	事例26	1		
packs/bessatsu-pack-15.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	115	123	事例27	事例29	3		
packs/bessatsu-pack-16.txt	bessatsu	別冊 移転価格税制の適用に当たっての参考事例集	124	129	事例30	事例31	2		
