doc_id	title	publisher	lang	license	source_url	source_basename	file	text_file	page_count
beps-a03-cfc-rules-nta-ja	BEPS Action 3: Designing Effective CFC Rules (NTA provisional translation)	NTA	ja	NTA website (Japan government)	https://www.nta.go.jp/taxes/shiraberu/kokusai/beps/pdf/001.pdf	001.pdf	source/raw/beps-a03-cfc-rules-nta-ja.pdf	source/text/beps-a03-cfc-rules-nta-ja.txt	59
beps-a04-interest-deductions-nta-ja	BEPS Action 4: Interest Deductions and Other Financial Payments (NTA provisional translation)	NTA	ja	NTA website (Japan government)	https://www.nta.go.jp/taxes/shiraberu/kokusai/beps/pdf/005.pdf	005.pdf	source/raw/beps-a04-interest-deductions-nta-ja.pdf	source/text/beps-a04-interest-deductions-nta-ja.txt	108
beps-a08-10-tp-value-creation-nta-ja	BEPS Actions 8-10: Aligning Transfer Pricing Outcomes with Value Creation (NTA provisional translation)	NTA	ja	NTA website (Japan government)	https://www.nta.go.jp/taxes/shiraberu/kokusai/beps/pdf/8-10.pdf	8-10.pdf	source/raw/beps-a08-10-tp-value-creation-nta-ja.pdf	source/text/beps-a08-10-tp-value-creation-nta-ja.txt	148
beps-a14-dispute-resolution-nta-ja	BEPS Action 14: Making Dispute Resolution Mechanisms More Effective (NTA provisional translation)	NTA	ja	NTA website (Japan government)	https://www.nta.go.jp/taxes/shiraberu/kokusai/beps/pdf/003.pdf	003.pdf	source/raw/beps-a14-dispute-resolution-nta-ja.pdf	source/text/beps-a14-dispute-resolution-nta-ja.txt	32
beps-a14-peer-review-monitoring-nta-ja	BEPS Action 14 Peer Review and Monitoring (NTA provisional translation of OECD webpage)	NTA	ja	NTA website (Japan government)	https://www.nta.go.jp/taxes/shiraberu/kokusai/beps/pdf/004.pdf	004.pdf	source/raw/beps-a14-peer-review-monitoring-nta-ja.pdf	source/text/beps-a14-peer-review-monitoring-nta-ja.txt	1
beps-a14-peer-review-schedule-oecd-en	BEPS Action 14 peer review assessment schedule (OECD PDF)	OECD	en	OECD (see source PDF)	http://www.oecd.org/tax/beps/beps-action-14-peer-review-assessment-schedule.pdf	beps-action-14-peer-review-assessment-schedule.pdf	source/raw/beps-a14-peer-review-schedule-oecd-en.pdf	source/text/beps-a14-peer-review-schedule-oecd-en.txt	3
beps-a14-peer-review-documents-oecd-en	BEPS Action 14: peer review documents (Terms of Reference / Assessment Methodology) (OECD PDF)	OECD	en	OECD (see source PDF)	http://www.oecd.org/tax/beps/beps-action-14-on-more-effective-dispute-resolution-peer-review-documents.pdf	beps-action-14-on-more-effective-dispute-resolution-peer-review-documents.pdf	source/raw/beps-a14-peer-review-documents-oecd-en.pdf	source/text/beps-a14-peer-review-documents-oecd-en.txt	82
beps-a14-best-practices-japan-2021-oecd-en	BEPS Action 14: peer review best practices - Japan (2021) (OECD PDF)	OECD	en	OECD (see source PDF)	https://www.oecd.org/tax/beps/beps-action-14-peer-review-best-practices-japan-2021.pdf	beps-action-14-peer-review-best-practices-japan-2021.pdf	source/raw/beps-a14-best-practices-japan-2021-oecd-en.pdf	source/text/beps-a14-best-practices-japan-2021-oecd-en.txt	29
beps-min-standards-progress-2025-oecd-en	Note on burden reduction in the BEPS minimum standards (2025) (OECD PDF)	OECD	en	OECD (see source PDF)	https://www.oecd.org/content/dam/oecd/en/topics/policy-issues/beps/note-on-burden-reduction-in-the-beps-minimum-standards.pdf	note-on-burden-reduction-in-the-beps-minimum-standards.pdf	source/raw/beps-min-standards-progress-2025-oecd-en.pdf	source/text/beps-min-standards-progress-2025-oecd-en.txt	29
